filenames,trial_IDs,numericTags,locations,flagNums,avgForce,avgStiffness,avgStickSlip,avgYield
WS23_L3_T1_P_0_Thu_Mar__9_14_15_57_2023.csv,L3T1F0,59,3,0,1.793642904,565.8050971,0.003353086,1.912266281
WS23_L3_T1_P_1_Thu_Mar__9_14_20_03_2023.csv,L3T1F1,70,3,1,3.658206086,1412.834028,0.005136406,8.137438509
WS23_L3_T1_P_Test2_Fri_Mar_10_14_16_39_2023.csv,L3T1F2,94,3,2,3.870977898,502.7048906,0.016739361,8.869181267
WS23_L3_T1_P_2_Thu_Mar__9_14_21_53_2023.csv,L3T1F2,82,3,2,4.042867424,821.3192002,0.006962679,7.715237216
WS23_L3_T1_P_3_Thu_Mar__9_14_25_00_2023.csv,L3T1F3,87,3,3,15.97035084,1081.669541,0.018512115,20.05315204
WS23_L3_T1_P_4_Thu_Mar__9_14_28_40_2023.csv,L3T1F4,88,3,4,11.6421856,6691.568594,0.006071359,17.15003495
WS23_L3_T1_P_5_Thu_Mar__9_14_31_41_2023.csv,L3T1F5,89,3,5,2.597709316,928.4887972,0.004387784,3.433168433
WS23_L3_T1_P_6_Thu_Mar__9_14_35_04_2023.csv,L3T1F6,90,3,6,3.256684598,717.7787195,0.004391742,4.82398536
WS23_L3_T1_P_7_Thu_Mar__9_14_37_15_2023.csv,L3T1F7,91,3,7,7.207250122,2346.185684,0.010211065,14.74790529
WS23_L3_T1_P_8_Thu_Mar__9_14_38_55_2023.csv,L3T1F8,92,3,8,5.869431538,6721.571922,0.003786951,10.17727996
WS23_L3_T1_P_9_Thu_Mar__9_14_42_24_2023.csv,L3T1F9,93,3,9,18.45934399,6606.109288,0.00592728,39.18732514
WS23_L3_T1_P_10_Thu_Mar__9_14_44_21_2023.csv,L3T1F10,60,3,10,10.99823496,4071.261033,0.003662611,16.49787627
WS23_L3_T1_P_11_Thu_Mar__9_14_48_51_2023.csv,L3T1F11,61,3,11,15.83051752,2295.047606,0.015326083,35.2689883
WS23_L3_T1_P_12_Thu_Mar__9_14_53_21_2023.csv,L3T1F12,62,3,12,17.05516149,3637.42982,0.009404391,34.24883196
WS23_L3_T1_P_13_Thu_Mar__9_14_55_01_2023.csv,L3T1F13,63,3,13,12.6795098,2037.824183,0.015220866,31.10841253
